,galaxy,field,sub_field_index,ra_1,ra_2,dec_1,dec_2
0,lmc,LMC100,1,5:20:11.47,5:21:21.46,-69:28:57.0,-69:30:40.7
1,lmc,LMC100,2,5:20:10.50,5:21:19.64,-69:23:13.5,-69:20:16.4
2,lmc,LMC100,3,5:20:11.02,5:21:18.03,-69:14:33.9,-69:13:40.2
3,lmc,LMC100,4,5:20:07.47,5:21:17.46,-69:02:04.3,-69:03:50.9
4,lmc,LMC100,5,5:16:50.20,5:17:57.08,-69:02:22.0,-69:03:25.9
5,lmc,LMC100,6,5:16:47.89,5:17:56.78,-69:13:04.7,-69:12:09.2
6,lmc,LMC100,7,5:16:48.19,5:17:56.40,-69:20:22.9,-69:23:48.0
7,lmc,LMC100,8,5:16:47.02,5:17:57.30,-69:29:13.3,-69:31:06.9
8,lmc,LMC101,1,5:20:10.42,5:21:18.59,-68:53:04.0,-68:56:51.1
9,lmc,LMC101,2,5:20:11.26,5:21:16.58,-68:46:30.9,-68:45:08.1
10,lmc,LMC101,3,5:20:09.45,5:21:15.70,-68:37:23.3,-68:35:30.6
11,lmc,LMC101,4,5:20:09.20,5:21:14.75,-68:30:16.0,-68:25:59.7
12,lmc,LMC101,5,5:16:54.02,5:17:58.95,-68:28:30.4,-68:28:48.5
13,lmc,LMC101,6,5:16:52.79,5:17:58.89,-68:36:29.6,-68:35:42.7
14,lmc,LMC101,7,5:16:53.33,5:17:59.07,-68:44:07.1,-68:47:54.9
15,lmc,LMC101,8,5:16:52.82,5:18:00.01,-68:54:17.5,-68:56:25.9
16,lmc,LMC102,1,5:20:10.83,5:21:16.08,-68:21:58.4,-68:19:46.5
17,lmc,LMC102,2,5:20:09.54,5:21:13.35,-68:10:13.3,-68:05:46.8
18,lmc,LMC102,3,5:20:07.73,5:21:12.45,-67:56:29.8,-67:59:41.2
19,lmc,LMC102,4,5:20:07.85,5:21:12.58,-67:52:33.5,-67:52:54.6
20,lmc,LMC102,5,5:16:57.98,5:18:00.94,-67:51:54.2,-67:49:33.3
21,lmc,LMC102,6,5:16:56.89,5:18:02.75,-68:00:59.2,-67:55:46.1
