,name,obsid,ra,dec,uvw2_mag,uvw2_mag_err,uvm2_mag,uvm2_mag_err,uvw1_mag,uvw1_mag_err,Umag,e_Umag,Bmag,e_Bmag,Vmag,e_Vmag,Imag,e_Imag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,uvw2_resid_frac,uvw2_saturated,uvw2_sss,uvw2_edge,uvm2_resid_frac,uvm2_saturated,uvm2_sss,uvm2_edge,uvw1_resid_frac,uvw1_saturated,uvw1_sss,uvw1_edge,mcps_flag,uvw2_key,uvw2_pix_x,uvw2_pix_y,uvm2_key,uvm2_pix_x,uvm2_pix_y,uvw1_key,uvw1_pix_x,uvw1_pix_y,Separation_in_as
95687,lmc-obs45461-2144,45461,77.18337000000002,-69.09052,17.33812141418457,0.0967732742428779,17.561599731445312,0.1309000998735428,17.521846771240234,0.1163964942097664,17.672,0.064,18.314,0.084,18.183,0.048,18.31,0.052,,,,,,,0.0987635745644027,0.0,1.0,1.0,0.1046539816090195,0.0,1.0,1.0,0.1366186738603096,0.0,1.0,1.0,10.0,17990.0,584.3324765847619,643.1203686290943,17912.0,576.5486722877716,629.7810284247855,17943.0,577.0861849985092,628.7798714359814,28.99598742686413
95693,lmc-obs45461-2150,45461,77.18488499999998,-69.09851,18.271503448486328,0.1803391575813292,18.6199893951416,0.2818832099437713,18.340295791625977,0.2126370072364807,18.48,0.081,19.031,0.057,18.965,0.075,19.105,0.081,,,,,,,0.0163204769061704,0.0,1.0,1.0,0.0463789176783949,0.0,1.0,1.0,0.0350794524281053,0.0,1.0,1.0,10.0,18043.0,582.4575899981514,614.4799650245079,17965.0,574.6434833469433,601.1404996396359,17996.0,575.191782373502,600.149005077269,36.55316745441541
95744,lmc-obs45461-2201,45461,77.19294000000001,-69.09071,17.25755500793457,0.0913926139473915,17.235694885253903,0.1073645129799842,17.32014274597168,0.1016717553138732,17.598,0.063,18.043,0.039,17.985,0.054,18.266,0.064,,,,,,,0.2760912113279982,0.0,1.0,1.0,0.2409080814292693,0.0,1.0,1.0,0.1925740203413525,0.0,1.0,1.0,10.0,18323.0,572.0982726848239,642.4183057658611,18247.0,564.3095456641958,629.0895740636176,18277.0,564.8555076144862,628.0820104376497,16.748037223198576
95748,lmc-obs45461-2205,45461,77.19399000000003,-69.08898,15.66690444946289,0.0507083982229232,15.775653839111328,0.057034432888031,15.810870170593262,0.0529154725372791,16.18,0.1119999999999999,16.782,0.03,16.65,0.044,16.951,0.052,,,,,,,0.1244374495646634,0.0,1.0,1.0,0.114196735710704,0.0,1.0,1.0,0.1032020916682731,0.0,1.0,1.0,10.0,18358.0,570.741398488628,648.6161205479953,18282.0,562.9585218200451,635.2893872094808,18312.0,563.5033383360137,634.278916936002,17.795490291458393
95756,lmc-obs45461-2213,45461,77.19550500000001,-69.09594,17.729598999023438,0.1220679134130478,18.08421516418457,0.1890118867158889,17.75042724609375,0.1359687745571136,18.091,0.061,18.45,0.05,18.254,0.243,18.345,0.072,,,,,,,0.1115083915922629,0.0,1.0,1.0,0.1182618731768442,0.0,1.0,1.0,0.0580432304508246,0.0,1.0,1.0,0.0,18409.0,568.8622084423947,623.6671889758193,18333.0,561.0534712739228,610.3399408591578,18363.0,561.6078984151204,609.3374744280678,20.41600685217324
95760,lmc-obs45461-2217,45461,77.19609,-69.09127,17.121509552001953,0.0846010446548461,17.105594635009766,0.099582090973854,17.230392456054688,0.096067875623703,17.594,0.061,18.131,0.038,18.075,0.049,18.263,0.063,,,,,,,0.356380968601313,0.0,1.0,1.0,0.3792052507570521,0.0,1.0,1.0,0.2131306635663112,0.0,1.0,1.0,10.0,18432.0,568.0753878994966,640.4037733456424,18356.0,560.2833119174086,627.0783689827706,18386.0,560.8326535891047,626.0693549980955,12.44832343444035
95770,lmc-obs45461-2227,45461,77.19729000000002,-69.08866,16.889371871948242,0.0750825256109237,16.842632293701172,0.0863041952252388,16.765754699707028,0.0744474604725837,16.648,0.06,17.065,0.0289999999999999,16.939,0.036,16.96,0.044,,,,,,,0.2497765100691782,0.0,1.0,1.0,0.2874473682599488,0.0,1.0,1.0,0.2493892458780887,0.0,1.0,1.0,10.0,18476.0,566.5189941366551,649.7550930565543,18400.0,558.7358526223146,636.4322405008385,18430.0,559.2831264735283,635.4191151538904,15.157609538825755
95783,lmc-obs45461-2240,45461,77.19956999999998,-69.08991,,,17.76420783996582,0.1519526541233062,17.994524002075195,0.1634123027324676,17.88,0.083,18.627,0.059,18.403,0.175,18.157,0.073,,,,,,,,,,,-0.2320469026052857,0.0,1.0,1.0,-0.0827267955069577,0.0,1.0,1.0,10.0,,,,18482.0,555.825618238349,631.9486113659258,18512.0,556.3763398957808,630.9354940763066,9.987689785852094
95784,lmc-obs45461-2241,45461,77.19966000000002,-69.09869,18.76982307434082,0.2659553587436676,18.839746475219727,0.3384175300598144,,,,,,,,,,,,,,,,,0.0392403284908374,0.0,1.0,1.0,0.1007093322863279,0.0,1.0,1.0,,,,,,18562.0,563.5739357824077,613.7999334654069,18486.0,555.7538381445888,600.4773570478459,,,,26.69027183795791
95790,lmc-obs45461-2247,45461,77.20105500000001,-69.09084,13.956743240356444,0.042965330183506,13.987921714782717,0.0440301857888698,14.027060508728027,0.0431106574833393,14.355,0.132,15.004,0.0289999999999999,14.94,0.038,15.242,0.036,,,,,,,0.0717535667132919,0.0,1.0,1.0,0.0680043057066768,0.0,1.0,1.0,0.0544939269860513,0.0,1.0,1.0,10.0,18597.0,561.7234124481963,641.9326071891761,18521.0,553.9308790877446,628.613006128951,18551.0,554.4839915336178,627.6000531397817,6.605956555466629
