,name,obsid,ra,dec,uvw2_mag,uvw2_mag_err,uvm2_mag,uvm2_mag_err,uvw1_mag,uvw1_mag_err,Umag,e_Umag,Bmag,e_Bmag,Vmag,e_Vmag,Imag,e_Imag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,uvw2_resid_frac,uvw2_saturated,uvw2_sss,uvw2_edge,uvm2_resid_frac,uvm2_saturated,uvm2_sss,uvm2_edge,uvw1_resid_frac,uvw1_saturated,uvw1_sss,uvw1_edge,mcps_flag,uvw2_key,uvw2_pix_x,uvw2_pix_y,uvm2_key,uvm2_pix_x,uvm2_pix_y,uvw1_key,uvw1_pix_x,uvw1_pix_y,Separation_in_as
12034,smc-obs40416-6147,40416,14.22525,-72.60155,17.26170539855957,0.1054732650518417,17.142353057861328,0.1214640587568283,17.16444969177246,0.110009416937828,16.639,0.036,16.82,0.107,15.845,0.039,14.78,0.039,14.019,0.024,13.399,0.0289999999999999,13.281,0.04,0.0907599320276406,0.0,1.0,1.0,0.0365030450998556,0.0,1.0,1.0,0.0984920452206197,0.0,1.0,1.0,20.0,41242.0,148.0437152018535,762.0196771447006,40842.0,153.17919331782915,759.2165502867157,40865.0,153.4305052045157,760.19495564325,33.726882947125816
12070,smc-obs40416-6183,40416,14.247525,-72.60108000000002,15.768662452697756,0.0570618137717247,15.663039207458494,0.0627478584647178,15.990974426269531,0.0625698640942573,16.272000000000002,0.038,17.007,0.034,17.027,0.037,17.215999999999998,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.1087328779362159,0.0,1.0,1.0,0.0883820678893227,0.0,1.0,1.0,0.1689245406500316,0.0,1.0,1.0,10.0,41910.0,124.21573523921288,763.5398693191396,41505.0,129.2764567869964,760.6299798788002,41528.0,129.5432975602174,761.6022400761511,9.689370514128381
12077,smc-obs40416-6190,40416,14.250135,-72.59040999999998,15.683767318725586,0.0557507574558258,15.604986190795898,0.061417106539011,15.866625785827637,0.060049794614315,16.257,0.036,17.066,0.034,17.115,0.034,17.335,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.1295130915875045,0.0,1.0,1.0,0.0963591933981342,0.0,1.0,1.0,0.18519148379375,0.0,1.0,1.0,10.0,41985.0,121.10404700942352,801.7357207202165,41579.0,125.99221045227152,798.8407777407364,41603.0,126.26871481939476,799.798610549373,38.45368924732393
12082,smc-obs40416-6195,40416,14.255175,-72.60407,17.901535034179688,0.1699156910181045,17.95355224609375,0.2182635366916656,18.29339599609375,0.2539605796337128,18.437,0.073,18.664,0.076,18.904,0.054,18.953,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.1455600730150495,0.0,1.0,1.0,0.2368198157779827,0.0,1.0,1.0,0.175116470399341,0.0,1.0,1.0,10.0,42133.0,116.12886826548376,752.7731234267163,41727.0,121.2114053242583,749.8179915357175,41750.0,121.48139519048796,750.7921310071698,11.430684197519945
12089,smc-obs40416-6202,40416,14.259479999999998,-72.59358,14.909235954284668,0.048395562916994,14.834049224853516,0.0515400432050228,15.152156829833984,0.050650555640459,15.595,0.03,16.475,0.022,16.557000000000002,0.032,16.721,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0959906734355008,0.0,1.0,1.0,0.0964367977344606,0.0,1.0,1.0,0.1355992842905868,0.0,1.0,1.0,10.0,42276.0,111.20495368223774,790.310493392456,41869.0,116.1130267930201,787.3623631764737,41892.0,116.3935094312146,788.3218914175137,26.61679764443517
12096,smc-obs40416-6209,40416,14.26203,-72.60495,18.040082931518555,0.1900607496500015,17.829118728637695,0.1994642466306686,18.243799209594727,0.244143694639206,18.267,0.053,18.887,0.195,18.89,0.187,18.898,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0615115742432919,0.0,1.0,1.0,0.06719362172798,0.0,1.0,1.0,0.1216975241746516,0.0,1.0,1.0,10.0,42353.0,108.82938806469085,749.5688934719797,41946.0,113.90366229920367,746.5778983720793,41969.0,114.17772539824486,747.5513544197452,15.677508885351596
12098,smc-obs40416-6211,40416,14.26311,-72.5972,15.961254119873049,0.0607574060559272,15.791264533996582,0.0660123005509376,16.109949111938473,0.0654965490102768,16.549,0.04,17.444000000000006,0.025,17.471,0.055,17.68,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.1428479004286309,0.0,1.0,1.0,0.0949899005575289,0.0,1.0,1.0,0.2237217407906898,0.0,1.0,1.0,10.0,42392.0,107.43479009486008,777.3172816022362,41985.0,112.38715514944276,774.3420413277603,42008.0,112.66742702361826,775.3052640469605,15.160308291704991
12107,smc-obs40416-6220,40416,14.26683,-72.59158000000002,18.19341087341309,0.2158060073852539,17.659191131591797,0.181391105055809,17.89140510559082,0.1870393455028534,18.179,0.059,18.801,0.049,18.732,0.047,18.925,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.2313464840969062,0.0,1.0,1.0,0.2034300010759705,0.0,1.0,1.0,0.1962619044461467,0.0,1.0,1.0,10.0,42510.0,103.28219444245678,797.4161065581088,42103.0,108.136050163062,794.4376677567152,42125.0,108.42309953015813,795.3927227661114,35.41265619277642
12115,smc-obs40416-6228,40416,14.27124,-72.60423,16.440486907958984,0.0722606778144836,16.559333801269528,0.0908497497439384,16.781803131103516,0.0885973498225212,17.121,0.036,17.891,0.039,17.964000000000006,0.038,18.098,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0537107202069944,0.0,1.0,1.0,0.1305917352864893,0.0,1.0,1.0,0.1420230496197329,0.0,1.0,1.0,10.0,42656.0,98.96370292014028,752.0759311016812,42249.0,103.99751941619527,749.0419223862501,42271.0,104.2783526716145,750.0119665065463,19.833818418844743
12119,smc-obs40416-6232,40416,14.2758,-72.60887,16.909242630004886,0.089219756424427,16.901182174682614,0.1070860400795936,17.089550018310547,0.1039524972438812,17.543,0.048,18.339,0.031,18.382,0.046,18.618,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.1169366949200419,0.0,1.0,1.0,0.1032286779134942,0.0,1.0,1.0,0.1617435336093531,0.0,1.0,1.0,10.0,42790.0,94.23820443474804,735.422059027796,42383.0,99.3275714378564,732.3525727694871,42403.0,99.60839346038752,733.3272907448967,35.35704282858247
12124,smc-obs40416-6237,40416,14.278695,-72.60698000000002,15.844409942626951,0.0581873096525669,15.810322761535645,0.065852053463459,16.213043212890625,0.0672910064458847,16.559,0.2339999999999999,17.276,0.026,17.34,0.0559999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1147708884020414,0.0,1.0,1.0,0.0753575145768334,0.0,1.0,1.0,0.2268765983615098,0.0,1.0,1.0,0.0,42875.0,91.08446949271402,742.1680410268758,42468.0,96.13578961495612,739.0897499527182,42488.0,96.41983642571972,740.0612466547493,32.34337253139145
12125,smc-obs40416-6238,40416,14.278845,-72.6093,17.977201461791992,0.1764684617519378,18.53985595703125,0.3348505198955536,18.368274688720703,0.2606674134731293,18.516,0.099,18.97,0.057,18.476,0.065,17.9,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.1554800050852258,0.0,1.0,1.0,0.3639517445895888,0.0,1.0,1.0,0.1842312126708411,0.0,1.0,1.0,10.0,42880.0,90.99865149351396,733.8579348096561,42473.0,96.08456061912548,730.7722431853565,42493.0,96.3671724745496,731.7466575486038,38.57363734703376
12127,smc-obs40416-6240,40416,14.27991,-72.59557,14.61679744720459,0.0467789582908153,14.600030899047852,0.0497197806835174,14.901899337768556,0.0487352274358272,15.549,0.057,16.625999999999998,0.05,16.699,0.034,16.937,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.1097454359886176,0.0,1.0,1.0,0.1177946822955412,0.0,1.0,1.0,0.183992730595906,0.0,1.0,1.0,10.0,42918.0,89.42027629229405,783.0221501364528,42511.0,94.293486212465,779.9697170072501,42531.0,94.58646185996136,780.9263543195607,31.712269069253576
12135,smc-obs40416-6248,40416,14.28894,-72.59682,13.700579643249512,0.0439566411077976,13.599895477294922,0.0448960810899734,13.89902687072754,0.0444937348365783,14.577,0.03,15.42,0.081,15.416,0.089,15.380999999999998,0.079,15.455,0.055,15.278,0.109,15.453,0.1969999999999999,0.1347105549684875,0.0,1.0,1.0,0.135066256760147,0.0,1.0,1.0,0.2044071117912914,0.0,1.0,1.0,10.0,43184.0,79.80586853153905,778.4721932156378,42776.0,84.66856080069238,775.3723936779539,42796.0,84.96678411315423,776.3281190785564,37.90630099790646
13390,smc-obs40416-7503,40416,14.279355,-72.60546,18.784292221069336,0.3366075158119201,,,,,,,,,,,,,,,,,,,0.1756379474794385,0.0,1.0,1.0,,,,,,,,,,42897.0,90.33043972375108,747.6065464934918,,,,,,,29.525618175508818
13656,smc-obs40416-7769,40416,14.257095,-72.60203,,,,,18.527231216430664,0.3090672791004181,19.081,0.07,19.685,0.309,19.689,0.074,19.787,0.091,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.156503169760306,0.0,1.0,1.0,0.0,,,,,,,41810.0,119.33224974018806,758.0769234675853,4.045315015128042
13657,smc-obs40416-7770,40416,14.261235,-72.59469,,,,,18.11288452148437,0.2222730070352554,19.075,0.093,18.64,0.042,17.566,0.0559999999999999,16.581,0.128,15.748,0.07,15.145,0.093,15.01,0.133,,,,,,,,,0.383448034023504,0.0,1.0,1.0,10.0,,,,,,,41945.0,114.56274174104642,784.3223940336965,22.99773603048958
46765,smc-obs40423-414,40423,14.22525,-72.60155,17.323869705200195,0.0850587338209152,17.383882522583008,0.1072429865598678,17.302387237548828,0.09011822193861,16.639,0.036,16.82,0.107,15.845,0.039,14.78,0.039,14.019,0.024,13.399,0.0289999999999999,13.281,0.04,0.1917078093506224,0.0,1.0,1.0,0.2264682110569524,0.0,1.0,1.0,0.2473759668425526,0.0,1.0,1.0,20.0,6870.0,1062.8674424209837,655.1291676231842,6542.0,1068.2336965313905,655.9741790340288,6523.0,1068.3427322628536,654.420042791455,33.726882947125816
46846,smc-obs40423-495,40423,14.247525,-72.60108000000002,15.764104843139648,0.0498165674507618,15.910273551940918,0.0567227900028228,16.091617584228516,0.0544263683259487,16.272000000000002,0.038,17.007,0.034,17.027,0.037,17.215999999999998,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.1705870321519178,0.0,1.0,1.0,0.2436189059599857,0.0,1.0,1.0,0.2276522250221318,0.0,1.0,1.0,10.0,7542.0,1038.9704097065028,656.9467295761507,7210.0,1044.382500122226,657.796386560165,7193.0,1044.5120381438992,656.2576267233412,9.689370514128381
46858,smc-obs40423-507,40423,14.250135,-72.59040999999998,15.731548309326172,0.0496848225593566,15.819202423095703,0.0554789043962955,15.977819442749023,0.0527517460286617,16.257,0.036,17.066,0.034,17.115,0.034,17.335,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.1712354776971048,0.0,1.0,1.0,0.2797502720615278,0.0,1.0,1.0,0.2533794762856837,0.0,1.0,1.0,10.0,7617.0,1036.3762101886173,695.2144960282233,7285.0,1041.7797513412231,696.064367001338,7268.0,1041.9443322709576,694.5050363156627,38.45368924732393
46870,smc-obs40423-519,40423,14.255175,-72.60407,18.198001861572266,0.1555308550596237,18.361629486083984,0.226827934384346,18.37421417236328,0.2021998167037964,18.437,0.073,18.664,0.076,18.904,0.054,18.953,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0467608397613934,0.0,1.0,1.0,0.1883264057668632,0.0,1.0,1.0,0.0834323231685565,0.0,1.0,1.0,10.0,7766.0,1030.704758982814,646.2706176221441,7433.0,1036.1348487841926,647.1218645977239,7416.0,1036.2615631839496,645.5949190326114,11.430684197519945
46880,smc-obs40423-529,40423,14.25651,-72.60092,16.27366065979004,0.0563309341669082,16.455219268798828,0.0687930732965469,16.970840454101562,0.0777014717459678,17.525,0.054,18.741,0.04,18.919,0.0579999999999999,19.183,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.1522482295270485,0.0,1.0,1.0,0.2530425163915881,0.0,1.0,1.0,0.2373801527181174,0.0,1.0,1.0,20.0,7817.0,1029.331022640379,657.5714926572957,7484.0,1034.7605953016016,658.4229129747323,7467.0,1034.8982490819742,656.8903710612267,0.0
